,is_planted,planted_fc
Prot_0155,False,0.0
Prot_0156,False,0.0
Prot_0157,False,0.0
Prot_0158,False,0.0
Prot_0159,False,0.0
Prot_0160,False,0.0
Prot_0161,False,0.0
Prot_0162,False,0.0
Prot_0163,False,0.0
Prot_0164,False,0.0
Prot_0165,False,0.0
Prot_0166,False,0.0
Prot_0167,False,0.0
Prot_0168,False,0.0
Prot_0169,False,0.0
Prot_0170,False,0.0
Prot_0171,False,0.0
Prot_0172,False,0.0
Prot_0173,False,0.0
Prot_0174,False,0.0
Prot_0175,False,0.0
Prot_0176,False,0.0
Prot_0177,False,0.0
Prot_0178,False,0.0
Prot_0179,False,0.0
Prot_0180,False,0.0
Prot_0181,False,0.0
Prot_0182,False,0.0
Prot_0183,False,0.0
Prot_0184,False,0.0
Prot_0185,False,0.0
Prot_0186,False,0.0
Prot_0187,False,0.0
Prot_0188,False,0.0
Prot_0189,False,0.0
Prot_0190,False,0.0
Prot_0191,False,0.0
Prot_0192,False,0.0
Prot_0193,False,0.0
Prot_0194,False,0.0
Prot_0195,False,0.0
Prot_0196,False,0.0
Prot_0197,False,0.0
Prot_0198,False,0.0
Prot_0199,False,0.0
Prot_0200,False,0.0
Prot_0201,False,0.0
Prot_0202,False,0.0
Prot_0203,False,0.0
Prot_0204,False,0.0
Prot_0205,False,0.0
Prot_0206,False,0.0
Prot_0207,False,0.0
Prot_0208,False,0.0
Prot_0209,False,0.0
Prot_0210,False,0.0
Prot_0211,False,0.0
Prot_0212,False,0.0
Prot_0213,False,0.0
Prot_0214,False,0.0
Prot_0215,False,0.0
Prot_0216,False,0.0
Prot_0217,False,0.0
Prot_0218,False,0.0
Prot_0219,False,0.0
Prot_0220,False,0.0
Prot_0221,False,0.0
Prot_0222,False,0.0
Prot_0223,False,0.0
Prot_0224,False,0.0
Prot_0225,False,0.0
Prot_0226,False,0.0
Prot_0227,False,0.0
Prot_0228,False,0.0
Prot_0229,False,0.0
Prot_0230,False,0.0
Prot_0231,False,0.0
Prot_0232,False,0.0
Prot_0233,False,0.0
Prot_0234,False,0.0
Prot_0235,False,0.0
Prot_0236,False,0.0
Prot_0237,False,0.0
Prot_0238,False,0.0
Prot_0239,False,0.0
Prot_0240,False,0.0
Prot_0241,False,0.0
Prot_0242,False,0.0
Prot_0243,False,0.0
Prot_0244,False,0.0
Prot_0245,False,0.0
Prot_0246,False,0.0
Prot_0247,False,0.0
Prot_0248,False,0.0
Prot_0249,False,0.0
Prot_0250,False,0.0
Prot_0251,False,0.0
Prot_0252,False,0.0
Prot_0253,False,0.0
Prot_0254,False,0.0
Prot_0255,False,0.0
Prot_0256,False,0.0
Prot_0257,False,0.0
Prot_0258,False,0.0
Prot_0259,False,0.0
Prot_0260,False,0.0
Prot_0261,False,0.0
Prot_0262,False,0.0
Prot_0263,False,0.0
Prot_0264,False,0.0
Prot_0265,False,0.0
Prot_0266,False,0.0
Prot_0267,False,0.0
Prot_0268,False,0.0
Prot_0269,False,0.0
Prot_0270,False,0.0
Prot_0271,False,0.0
Prot_0272,False,0.0
Prot_0273,False,0.0
Prot_0274,False,0.0
Prot_0275,False,0.0
Prot_0276,False,0.0
Prot_0277,False,0.0
Prot_0278,False,0.0
Prot_0279,False,0.0
Prot_0280,False,0.0
Prot_0281,False,0.0
Prot_0282,False,0.0
Prot_0283,False,0.0
Prot_0284,False,0.0
Prot_0285,False,0.0
Prot_0286,False,0.0
Prot_0287,False,0.0
Prot_0288,False,0.0
Prot_0289,False,0.0
Prot_0290,False,0.0
Prot_0291,False,0.0
Prot_0292,False,0.0
Prot_0293,False,0.0
Prot_0294,False,0.0
Prot_0295,False,0.0
Prot_0296,False,0.0
Prot_0297,False,0.0
Prot_0298,False,0.0
Prot_0299,False,0.0
Prot_0300,False,0.0
Prot_0301,False,0.0
Prot_0302,False,0.0
Prot_0303,False,0.0
Prot_0304,False,0.0
Prot_0305,False,0.0
Prot_0306,False,0.0
Prot_0307,False,0.0
Prot_0308,False,0.0
Prot_0309,False,0.0
Prot_0310,False,0.0
Prot_0311,False,0.0
Prot_0312,False,0.0
Prot_0313,False,0.0
Prot_0314,False,0.0
Prot_0315,False,0.0
Prot_0316,False,0.0
Prot_0317,False,0.0
Prot_0318,False,0.0
Prot_0319,False,0.0
Prot_0320,False,0.0
Prot_0321,False,0.0
Prot_0322,False,0.0
Prot_0323,False,0.0
Prot_0324,False,0.0
Prot_0325,False,0.0
Prot_0326,False,0.0
Prot_0327,False,0.0
Prot_0328,False,0.0
Prot_0329,False,0.0
Prot_0330,False,0.0
Prot_0331,False,0.0
Prot_0332,False,0.0
Prot_0333,False,0.0
Prot_0334,False,0.0
Prot_0335,False,0.0
Prot_0336,False,0.0
Prot_0337,False,0.0
Prot_0338,False,0.0
Prot_0339,False,0.0
Prot_0340,False,0.0
Prot_0341,False,0.0
Prot_0342,False,0.0
Prot_0343,False,0.0
Prot_0344,False,0.0
Prot_0345,False,0.0
Prot_0346,False,0.0
Prot_0347,False,0.0
Prot_0348,False,0.0
Prot_0349,False,0.0
Prot_0350,False,0.0
Prot_0351,False,0.0
Prot_0352,False,0.0
Prot_0353,False,0.0
Prot_0354,False,0.0
Prot_0355,False,0.0
Prot_0356,False,0.0
Prot_0357,False,0.0
Prot_0358,False,0.0
Prot_0359,False,0.0
Prot_0360,False,0.0
Prot_0361,False,0.0
Prot_0362,False,0.0
Prot_0363,False,0.0
Prot_0364,False,0.0
Prot_0365,False,0.0
Prot_0366,False,0.0
Prot_0367,False,0.0
Prot_0368,False,0.0
Prot_0369,False,0.0
Prot_0370,False,0.0
Prot_0371,False,0.0
Prot_0372,False,0.0
Prot_0373,False,0.0
Prot_0374,False,0.0
Prot_0375,False,0.0
Prot_0376,False,0.0
Prot_0377,False,0.0
Prot_0378,False,0.0
Prot_0379,False,0.0
Prot_0380,False,0.0
Prot_0381,False,0.0
Prot_0382,False,0.0
Prot_0383,False,0.0
Prot_0384,False,0.0
Prot_0385,False,0.0
Prot_0386,False,0.0
Prot_0387,False,0.0
Prot_0388,False,0.0
Prot_0389,False,0.0
Prot_0390,False,0.0
Prot_0391,False,0.0
Prot_0392,False,0.0
Prot_0393,False,0.0
Prot_0394,False,0.0
Prot_0395,False,0.0
Prot_0396,False,0.0
Prot_0397,False,0.0
Prot_0398,False,0.0
Prot_0399,False,0.0
Prot_0400,False,0.0
Prot_0401,False,0.0
Prot_0402,False,0.0
Prot_0403,False,0.0
Prot_0404,False,0.0
Prot_0405,False,0.0
Prot_0406,False,0.0
Prot_0407,False,0.0
Prot_0408,False,0.0
Prot_0409,False,0.0
Prot_0410,False,0.0
Prot_0411,False,0.0
Prot_0412,False,0.0
Prot_0413,False,0.0
Prot_0414,False,0.0
Prot_0415,False,0.0
Prot_0416,False,0.0
Prot_0417,False,0.0
Prot_0418,False,0.0
Prot_0419,False,0.0
Prot_0420,False,0.0
Prot_0421,False,0.0
Prot_0422,False,0.0
Prot_0423,False,0.0
Prot_0424,False,0.0
Prot_0425,False,0.0
Prot_0426,False,0.0
Prot_0427,False,0.0
Prot_0428,False,0.0
Prot_0429,False,0.0
Prot_0430,False,0.0
Prot_0431,False,0.0
Prot_0432,False,0.0
Prot_0433,False,0.0
Prot_0434,False,0.0
Prot_0435,False,0.0
Prot_0436,False,0.0
Prot_0437,False,0.0
Prot_0438,False,0.0
Prot_0439,False,0.0
Prot_0440,False,0.0
Prot_0441,False,0.0
Prot_0442,False,0.0
Prot_0443,False,0.0
Prot_0444,False,0.0
Prot_0445,False,0.0
Prot_0446,False,0.0
Prot_0447,False,0.0
Prot_0448,False,0.0
Prot_0449,False,0.0
Prot_0450,False,0.0
Prot_0451,False,0.0
Prot_0452,False,0.0
Prot_0453,False,0.0
Prot_0454,False,0.0
Prot_0455,False,0.0
Prot_0456,False,0.0
Prot_0457,False,0.0
Prot_0458,False,0.0
Prot_0459,False,0.0
Prot_0460,False,0.0
Prot_0461,False,0.0
Prot_0462,False,0.0
Prot_0463,False,0.0
Prot_0464,False,0.0
Prot_0465,False,0.0
Prot_0466,False,0.0
Prot_0467,False,0.0
Prot_0468,False,0.0
Prot_0469,False,0.0
Prot_0470,False,0.0
Prot_0471,False,0.0
Prot_0472,False,0.0
Prot_0473,False,0.0
Prot_0474,False,0.0
Prot_0475,False,0.0
Prot_0476,False,0.0
Prot_0477,False,0.0
Prot_0478,False,0.0
Prot_0479,False,0.0
Prot_0480,False,0.0
Prot_0481,False,0.0
Prot_0482,False,0.0
Prot_0483,False,0.0
Prot_0484,False,0.0
Prot_0485,False,0.0
Prot_0486,False,0.0
Prot_0487,False,0.0
Prot_0488,False,0.0
Prot_0489,False,0.0
Prot_0490,False,0.0
Prot_0491,False,0.0
Prot_0492,False,0.0
Prot_0493,False,0.0
Prot_0494,False,0.0
Prot_0495,False,0.0
Prot_0496,False,0.0
Prot_0497,False,0.0
Prot_0498,False,0.0
Prot_0499,False,0.0
Prot_0500,False,0.0
Prot_0501,False,0.0
Prot_0502,False,0.0
Prot_0503,False,0.0
Prot_0504,False,0.0
Prot_0505,False,0.0
Prot_0506,False,0.0
Prot_0507,False,0.0
Prot_0508,False,0.0
Prot_0509,False,0.0
Prot_0510,False,0.0
Prot_0511,False,0.0
Prot_0512,False,0.0
Prot_0513,False,0.0
Prot_0514,False,0.0
Prot_0515,False,0.0
Prot_0516,False,0.0
Prot_0517,False,0.0
Prot_0518,False,0.0
Prot_0519,False,0.0
Prot_0520,False,0.0
Prot_0521,False,0.0
Prot_0522,False,0.0
Prot_0523,False,0.0
Prot_0524,False,0.0
Prot_0525,False,0.0
Prot_0526,False,0.0
Prot_0527,False,0.0
Prot_0528,False,0.0
Prot_0529,False,0.0
Prot_0530,False,0.0
Prot_0531,False,0.0
Prot_0532,False,0.0
Prot_0533,False,0.0
Prot_0534,False,0.0
Prot_0535,False,0.0
Prot_0536,False,0.0
Prot_0537,False,0.0
Prot_0538,False,0.0
Prot_0539,False,0.0
Prot_0540,False,0.0
Prot_0541,False,0.0
Prot_0542,False,0.0
Prot_0543,False,0.0
Prot_0544,False,0.0
Prot_0545,False,0.0
Prot_0546,False,0.0
Prot_0547,False,0.0
Prot_0548,False,0.0
Prot_0549,False,0.0
Prot_0550,False,0.0
Prot_0551,False,0.0
Prot_0552,False,0.0
Prot_0553,False,0.0
Prot_0554,False,0.0
Prot_0555,False,0.0
Prot_0556,False,0.0
Prot_0557,False,0.0
Prot_0558,False,0.0
Prot_0559,False,0.0
Prot_0560,False,0.0
Prot_0561,False,0.0
Prot_0562,False,0.0
Prot_0563,False,0.0
Prot_0564,False,0.0
Prot_0565,False,0.0
Prot_0566,False,0.0
Prot_0567,False,0.0
Prot_0568,False,0.0
Prot_0569,False,0.0
Prot_0570,False,0.0
Prot_0571,False,0.0
Prot_0572,False,0.0
Prot_0573,False,0.0
Prot_0574,False,0.0
Prot_0575,False,0.0
Prot_0576,False,0.0
Prot_0577,False,0.0
Prot_0578,False,0.0
Prot_0579,False,0.0
Prot_0580,False,0.0
Prot_0581,False,0.0
Prot_0582,False,0.0
Prot_0583,False,0.0
Prot_0584,False,0.0
Prot_0585,False,0.0
Prot_0586,False,0.0
Prot_0587,False,0.0
Prot_0588,False,0.0
Prot_0589,False,0.0
Prot_0590,False,0.0
Prot_0591,False,0.0
Prot_0592,False,0.0
Prot_0593,False,0.0
Prot_0594,False,0.0
Prot_0595,False,0.0
Prot_0596,False,0.0
Prot_0597,False,0.0
Prot_0598,False,0.0
Prot_0599,False,0.0
Prot_0600,False,0.0
Prot_0601,False,0.0
Prot_0602,False,0.0
Prot_0603,False,0.0
Prot_0604,False,0.0
Prot_0605,False,0.0
Prot_0606,False,0.0
Prot_0607,False,0.0
Prot_0608,False,0.0
Prot_0609,False,0.0
Prot_0610,False,0.0
Prot_0611,False,0.0
Prot_0612,False,0.0
Prot_0613,False,0.0
Prot_0614,False,0.0
Prot_0615,False,0.0
Prot_0616,False,0.0
Prot_0617,False,0.0
Prot_0618,False,0.0
Prot_0619,False,0.0
Prot_0620,False,0.0
Prot_0621,False,0.0
Prot_0622,False,0.0
Prot_0623,False,0.0
Prot_0624,False,0.0
Prot_0625,False,0.0
Prot_0626,False,0.0
Prot_0627,False,0.0
Prot_0628,False,0.0
Prot_0629,False,0.0
Prot_0630,False,0.0
Prot_0631,False,0.0
Prot_0632,False,0.0
Prot_0633,False,0.0
Prot_0634,False,0.0
Prot_0635,False,0.0
Prot_0636,False,0.0
Prot_0637,False,0.0
Prot_0638,False,0.0
Prot_0639,False,0.0
Prot_0640,False,0.0
Prot_0641,False,0.0
Prot_0642,False,0.0
Prot_0643,False,0.0
Prot_0644,False,0.0
Prot_0645,False,0.0
Prot_0646,False,0.0
Prot_0647,False,0.0
Prot_0648,False,0.0
Prot_0649,False,0.0
Prot_0650,False,0.0
Prot_0651,False,0.0
Prot_0652,False,0.0
Prot_0653,False,0.0
Prot_0654,False,0.0
Prot_0655,False,0.0
Prot_0656,False,0.0
Prot_0657,False,0.0
Prot_0658,False,0.0
Prot_0659,False,0.0
Prot_0660,False,0.0
Prot_0661,False,0.0
Prot_0662,False,0.0
Prot_0663,False,0.0
Prot_0664,False,0.0
Prot_0665,False,0.0
Prot_0666,False,0.0
Prot_0667,False,0.0
Prot_0668,False,0.0
Prot_0669,False,0.0
Prot_0670,False,0.0
Prot_0671,False,0.0
Prot_0672,False,0.0
Prot_0673,False,0.0
Prot_0674,False,0.0
Prot_0675,False,0.0
Prot_0676,False,0.0
Prot_0677,False,0.0
Prot_0678,False,0.0
Prot_0679,False,0.0
Prot_0680,False,0.0
Prot_0681,False,0.0
Prot_0682,False,0.0
Prot_0683,False,0.0
Prot_0684,False,0.0
Prot_0685,False,0.0
Prot_0686,False,0.0
Prot_0687,False,0.0
Prot_0688,False,0.0
Prot_0689,False,0.0
Prot_0690,False,0.0
Prot_0691,False,0.0
Prot_0692,False,0.0
Prot_0693,False,0.0
Prot_0694,False,0.0
Prot_0695,False,0.0
Prot_0696,False,0.0
Prot_0697,False,0.0
Prot_0698,False,0.0
Prot_0699,False,0.0
Prot_0700,False,0.0
Prot_0701,False,0.0
Prot_0702,False,0.0
Prot_0703,False,0.0
Prot_0704,False,0.0
Prot_0705,False,0.0
Prot_0706,False,0.0
Prot_0707,False,0.0
Prot_0708,False,0.0
Prot_0709,False,0.0
Prot_0710,False,0.0
Prot_0711,False,0.0
Prot_0712,False,0.0
Prot_0713,False,0.0
Prot_0714,False,0.0
Prot_0715,False,0.0
Prot_0716,False,0.0
Prot_0717,False,0.0
Prot_0718,False,0.0
Prot_0719,False,0.0
Prot_0720,False,0.0
Prot_0721,False,0.0
Prot_0722,False,0.0
Prot_0723,False,0.0
Prot_0724,False,0.0
Prot_0725,False,0.0
Prot_0726,False,0.0
Prot_0727,False,0.0
Prot_0728,False,0.0
Prot_0729,False,0.0
Prot_0730,False,0.0
Prot_0731,False,0.0
Prot_0732,False,0.0
Prot_0733,False,0.0
Prot_0734,False,0.0
Prot_0735,False,0.0
Prot_0736,False,0.0
Prot_0737,False,0.0
Prot_0738,False,0.0
Prot_0739,False,0.0
Prot_0740,False,0.0
Prot_0741,False,0.0
Prot_0742,False,0.0
Prot_0743,False,0.0
Prot_0744,False,0.0
Prot_0745,False,0.0
Prot_0746,False,0.0
Prot_0747,False,0.0
Prot_0748,False,0.0
Prot_0749,False,0.0
Prot_0750,False,0.0
Prot_0751,False,0.0
Prot_0752,False,0.0
Prot_0753,False,0.0
Prot_0754,False,0.0
Prot_0755,False,0.0
Prot_0756,False,0.0
Prot_0757,False,0.0
Prot_0758,False,0.0
Prot_0759,False,0.0
Prot_0760,False,0.0
Prot_0761,False,0.0
Prot_0762,False,0.0
Prot_0763,False,0.0
Prot_0764,False,0.0
Prot_0765,False,0.0
Prot_0766,False,0.0
Prot_0767,False,0.0
Prot_0768,False,0.0
Prot_0769,False,0.0
Prot_0770,False,0.0
Prot_0771,False,0.0
Prot_0772,False,0.0
Prot_0773,False,0.0
Prot_0774,False,0.0
Prot_0775,False,0.0
Prot_0776,False,0.0
Prot_0777,False,0.0
Prot_0778,False,0.0
Prot_0779,False,0.0
Prot_0780,False,0.0
Prot_0781,False,0.0
Prot_0782,False,0.0
Prot_0783,False,0.0
Prot_0784,False,0.0
Prot_0785,False,0.0
Prot_0786,False,0.0
Prot_0787,False,0.0
Prot_0788,False,0.0
Prot_0789,False,0.0
Prot_0790,False,0.0
Prot_0791,False,0.0
Prot_0792,False,0.0
Prot_0793,False,0.0
Prot_0794,False,0.0
Prot_0795,False,0.0
Prot_0796,False,0.0
Prot_0797,False,0.0
Prot_0798,False,0.0
Prot_0799,False,0.0
Prot_0800,False,0.0
Prot_0801,False,0.0
Prot_0802,False,0.0
Prot_0803,False,0.0
Prot_0804,False,0.0
Prot_0805,False,0.0
Prot_0806,False,0.0
Prot_0807,False,0.0
Prot_0808,False,0.0
Prot_0809,False,0.0
Prot_0810,False,0.0
Prot_0811,False,0.0
Prot_0812,False,0.0
Prot_0813,False,0.0
Prot_0814,False,0.0
Prot_0815,False,0.0
Prot_0816,False,0.0
Prot_0817,False,0.0
Prot_0818,False,0.0
Prot_0819,False,0.0
Prot_0820,False,0.0
Prot_0821,False,0.0
Prot_0822,False,0.0
Prot_0823,False,0.0
Prot_0824,False,0.0
Prot_0825,False,0.0
Prot_0826,False,0.0
Prot_0827,False,0.0
Prot_0828,False,0.0
Prot_0829,False,0.0
Prot_0830,False,0.0
Prot_0831,False,0.0
Prot_0832,False,0.0
Prot_0833,False,0.0
Prot_0834,False,0.0
Prot_0835,False,0.0
Prot_0836,False,0.0
Prot_0837,False,0.0
Prot_0838,False,0.0
Prot_0839,False,0.0
Prot_0840,False,0.0
Prot_0841,False,0.0
Prot_0842,False,0.0
Prot_0843,False,0.0
Prot_0844,False,0.0
Prot_0845,False,0.0
Prot_0846,False,0.0
Prot_0847,False,0.0
Prot_0848,False,0.0
Prot_0849,False,0.0
Prot_0850,False,0.0
Prot_0851,False,0.0
Prot_0852,False,0.0
Prot_0853,False,0.0
Prot_0854,False,0.0
Prot_0855,False,0.0
Prot_0856,False,0.0
Prot_0857,False,0.0
Prot_0858,False,0.0
Prot_0859,False,0.0
Prot_0860,False,0.0
Prot_0861,False,0.0
Prot_0862,False,0.0
Prot_0863,False,0.0
Prot_0864,False,0.0
Prot_0865,False,0.0
Prot_0866,False,0.0
Prot_0867,False,0.0
Prot_0868,False,0.0
Prot_0869,False,0.0
Prot_0870,False,0.0
Prot_0871,False,0.0
Prot_0872,False,0.0
Prot_0873,False,0.0
Prot_0874,False,0.0
Prot_0875,False,0.0
Prot_0876,False,0.0
Prot_0877,False,0.0
Prot_0878,False,0.0
Prot_0879,False,0.0
Prot_0880,False,0.0
Prot_0881,False,0.0
Prot_0882,False,0.0
Prot_0883,False,0.0
Prot_0884,False,0.0
Prot_0885,False,0.0
Prot_0886,False,0.0
Prot_0887,False,0.0
Prot_0888,False,0.0
Prot_0889,False,0.0
Prot_0890,False,0.0
Prot_0891,False,0.0
Prot_0892,False,0.0
Prot_0893,False,0.0
Prot_0894,False,0.0
Prot_0895,False,0.0
Prot_0896,False,0.0
Prot_0897,False,0.0
Prot_0898,False,0.0
Prot_0899,False,0.0
Prot_0900,False,0.0
Prot_0901,False,0.0
Prot_0902,False,0.0
Prot_0903,False,0.0
Prot_0904,False,0.0
Prot_0905,False,0.0
Prot_0906,False,0.0
Prot_0907,False,0.0
Prot_0908,False,0.0
Prot_0909,False,0.0
Prot_0910,False,0.0
Prot_0911,False,0.0
Prot_0912,False,0.0
Prot_0913,False,0.0
Prot_0914,False,0.0
Prot_0915,False,0.0
Prot_0916,False,0.0
Prot_0917,False,0.0
Prot_0918,False,0.0
Prot_0919,False,0.0
Prot_0920,False,0.0
Prot_0921,False,0.0
Prot_0922,False,0.0
Prot_0923,False,0.0
Prot_0924,False,0.0
Prot_0925,False,0.0
Prot_0926,False,0.0
Prot_0927,False,0.0
Prot_0928,False,0.0
Prot_0929,False,0.0
Prot_0930,False,0.0
Prot_0931,False,0.0
Prot_0932,False,0.0
Prot_0933,False,0.0
Prot_0934,False,0.0
Prot_0935,False,0.0
Prot_0936,False,0.0
Prot_0937,False,0.0
Prot_0938,False,0.0
Prot_0939,False,0.0
Prot_0940,False,0.0
Prot_0941,False,0.0
Prot_0942,False,0.0
Prot_0943,False,0.0
Prot_0944,False,0.0
Prot_0945,False,0.0
Prot_0946,False,0.0
Prot_0947,False,0.0
Prot_0948,False,0.0
Prot_0949,False,0.0
Prot_0950,False,0.0
Prot_0951,False,0.0
Prot_0952,False,0.0
Prot_0953,False,0.0
Prot_0954,False,0.0
Prot_0955,False,0.0
Prot_0956,False,0.0
Prot_0957,False,0.0
Prot_0958,False,0.0
Prot_0959,False,0.0
Prot_0960,False,0.0
Prot_0961,False,0.0
Prot_0962,False,0.0
Prot_0963,False,0.0
Prot_0964,False,0.0
Prot_0965,False,0.0
Prot_0966,False,0.0
Prot_0967,False,0.0
Prot_0968,False,0.0
Prot_0969,False,0.0
Prot_0970,False,0.0
Prot_0971,False,0.0
Prot_0972,False,0.0
Prot_0973,False,0.0
Prot_0974,False,0.0
Prot_0975,False,0.0
Prot_0976,False,0.0
Prot_0977,False,0.0
Prot_0978,False,0.0
Prot_0979,False,0.0
Prot_0980,False,0.0
Prot_0981,False,0.0
Prot_0982,False,0.0
Prot_0983,False,0.0
Prot_0984,False,0.0
Prot_0985,False,0.0
Prot_0986,False,0.0
Prot_0987,False,0.0
Prot_0988,False,0.0
Prot_0989,False,0.0
Prot_0990,False,0.0
Prot_0991,False,0.0
Prot_0992,False,0.0
Prot_0993,False,0.0
Prot_0994,False,0.0
Prot_0995,False,0.0
Prot_0996,False,0.0
Prot_0997,False,0.0
Prot_0998,False,0.0
Prot_0999,False,0.0
Prot_1000,False,0.0
Prot_1001,False,0.0
Prot_1002,False,0.0
Prot_1003,False,0.0
Prot_1004,False,0.0
Prot_1005,False,0.0
Prot_1006,False,0.0
Prot_1007,False,0.0
Prot_1008,False,0.0
Prot_1009,False,0.0
Prot_1010,False,0.0
Prot_1011,False,0.0
Prot_1012,False,0.0
Prot_1013,False,0.0
Prot_1014,False,0.0
Prot_1015,False,0.0
Prot_1016,False,0.0
Prot_1017,False,0.0
Prot_1018,False,0.0
Prot_1019,False,0.0
Prot_1020,False,0.0
Prot_1021,False,0.0
Prot_1022,False,0.0
Prot_1023,False,0.0
Prot_1024,False,0.0
Prot_1025,False,0.0
Prot_1026,False,0.0
Prot_1027,False,0.0
Prot_1028,False,0.0
Prot_1029,False,0.0
Prot_1030,False,0.0
Prot_1031,False,0.0
Prot_1032,False,0.0
Prot_1033,False,0.0
Prot_1034,False,0.0
Prot_1035,False,0.0
Prot_1036,False,0.0
Prot_1037,False,0.0
Prot_1038,False,0.0
Prot_1039,False,0.0
Prot_1040,False,0.0
Prot_1041,False,0.0
Prot_1042,False,0.0
Prot_1043,False,0.0
Prot_1044,False,0.0
Prot_1045,False,0.0
Prot_1046,False,0.0
Prot_1047,False,0.0
Prot_1048,False,0.0
Prot_1049,False,0.0
Prot_1050,False,0.0
Prot_1051,False,0.0
Prot_1052,False,0.0
Prot_1053,False,0.0
Prot_1054,False,0.0
Prot_1055,False,0.0
Prot_1056,False,0.0
Prot_1057,False,0.0
Prot_1058,False,0.0
Prot_1059,False,0.0
Prot_1060,False,0.0
Prot_1061,False,0.0
Prot_1062,False,0.0
Prot_1063,False,0.0
Prot_1064,False,0.0
Prot_1065,False,0.0
Prot_1066,False,0.0
Prot_1067,False,0.0
Prot_1068,False,0.0
Prot_1069,False,0.0
Prot_1070,False,0.0
Prot_1071,False,0.0
